Season	Bachelor	B_Age	B_Hometown	Winner	W_Age	W_Hometown	Runner-up	R_Age	R_Hometown
1	Alex Michel	31	Charlottesville, Virginia.	Amanda Marsh	23	Chanute, Kansas	Trista Rehn	29	St. Louis, Missouri
2	Aaron Buerge	28	Butler, Missouri	Helene Eksterowicz	27	Gloucester, New Jersey	Brooke Smith	22	Albertville, Alabama
3	Andrew Firestone	28	Santa Barbara, California	Jennifer Schefft	25	Mentor, Ohio	Kirsten Buschbacher	23	Valrico, Florida
4	Bob Guiney	32	Riverview, Michigan	Estella Gardinier	28	Beverly Hills, California	Kelly Jo Kuharski	24	Kalamazoo, Michigan
5	Jesse Palmer	25	Nepean, Ontario	Jessica Bowlin	22	Huntington Beach, California	Tara Huckeby	23	Shawnee, Oklahoma
7	Charlie O'Connell	30	New York City, New York	Sarah Brice	24	McKinney, Texas	Krisily Kennedy	25	Warwick, Florida
9	Lorenzo Borghese	34	Milan, Italy	Jennifer Wilson	24	Pembroke Pines, Florida	Sadie Murray	23	Carlsbad, California
10	Andy Baldwin	30	Lancaster, Pennsylvania	Tessa Horst	26	San Francisco, California	Bevin Powers	28	Palo Alto, California
12	Matt Grant	27	London, United Kingdom	Shayne Lamas	22	Malibu, California	Chelsea Wanstrath	25	Durango, Colorado
13	Jason Mesnick	32	Kirkland, Washington	Melissa Rycroft	25	Dallas, Texas	Molly Malaney	24	Brookfield, Wisconsin
14	Jake Pavelka	31	Dallas, Texas	Vienna Girardi	23	Geneva, Florida	Tenley Molzahn	25	Newberg, Oregon
15	Brad Womack	38	Austin, Texas	Emily Maynard	24	Morgantown, West Virginia	Chantal O'Brien	28	Mercer Island, Washington
16	Ben Flajnik	29	Sonoma, California	Courtney Robertson	28	Scottsdale, Arizona	Lindzi Cox	27	Ocala, Florida
17	Sean Lowe	28	Irving, Texas	Catherine Giudici	26	Seattle, Washington	Lindsay Yenter	24	Fort Leonard Wood, Missouri
18	Juan Pablo Galavis	32	Miami, Florida	Nikki Ferrell	26	Kearney, Missouri	Clare Crawlet	32	Sacramento, California
19	Chris Soules	33	Arlington, Iowa	Whitney Bischoff	29	Louisville, Kentucky	Becca Tilley	25	Shreveport, Louisiana
20	Ben Higgins	26	Warsaw, Indiana	Lauren Bushnell	25	West Linn, Oregon	Joelle Fletcher	24	Dallas, Texas
21	Nick Viall	36	Waukesha, Wisconsin	Vanessa Grimaldi	29	Montreal, Quebec	Raven Gates	25	Hoxie, Arkansas
22	Arie Luyendyk Jr.	36	Scottsdale, Arizona	Becca Kufrin	27	Prior Lake, Minnesota	Lauren Burham	25	Virginia Beach, Virginia
23	Colton Underwood	26	Washington, Illinois	Cassie Randolph	23	Huntington Beach, California	Hannah Godwin	23	Birmingham, Alabama
24	Peter Weber	28	Westlake Village, California	Hannah Sluss	23	Powell, Tennessee	Madison Prewett	23	Auburn, Alabama
25	Matt James	28	Raleigh, North Carolina	Rachael Kirkconnell	24	Cumming Georgia	Michelle Young	27	Woodbury, Minnesota
26	Clayton Echard	28	Eureka, Missouri	Susie Evans	28	Poquoson, Virginia	Gabriela Windey	30	O'Fallon, Illinois
27	Zach Shallcross	26	Anaheim Hills, California	Kaitlyn Biggar	27	Kingston, Ontario	Gabriella Elnicki	25	Pittsford, Vermont
28	Joey Graziadei	28	Royersford, Pennsylvania	Kelsey Anderson	25	Leesville, Louisiana	Daisy Kent	25	Becker, Minnnesota
